Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
124567_zbledami_L2A_class,spectral angle mapping,IQR,751,74.7004,71.4709,77.6785,75.7656,72.5749,78.6942,1.0652,-0.4546,2.5851,nie,71.4536,72.7766,1.3230
124567_zbledami_L2A_class,minimum distance,PCA,751,77.6298,74.5131,80.4654,79.2277,76.1811,81.9768,1.5979,-0.0069,3.2026,nie,75.4132,76.2979,0.8847
124567_zbledami_L2A_roi,maximum likelihood,IsolationForest,751,60.4527,56.9110,63.8880,63.3822,59.8766,66.7515,2.9294,1.3776,4.4812,TAK,56.7101,59.4661,2.7560
124567_zbledami_L2A_roi,random forest,Percentile,751,75.3662,72.1606,78.3136,81.2250,78.2758,83.8565,5.8589,3.6844,8.0333,TAK,71.9551,77.5091,5.5540
124567_zbledami_L2A_roi,multi-layer perceptron,Erosion,751,71.6378,68.3102,74.7452,75.3662,72.1606,78.3136,3.7284,1.1322,6.3245,TAK,64.5084,66.5445,2.0361
124567_zbledami_L2A_roi,support vector machine,IQR,751,82.4234,79.5382,84.9787,83.0892,80.2414,85.6002,0.6658,-1.4378,2.7693,nie,82.0275,82.0647,0.0372
124567_zbledami_L2A_roi,spectral angle mapping,Mahalanobis,751,74.7004,71.4709,77.6785,74.3009,71.0575,77.2970,-0.3995,-1.8046,1.0057,nie,71.4536,72.1404,0.6867
124567_zbledami_L2A_roi,minimum distance,GMM,751,77.6298,74.5131,80.4654,77.6298,74.5131,80.4654,0.0000,-0.3691,0.3691,nie,75.4132,75.5646,0.1514
12456_poprawny_L1C_class,maximum likelihood,Robust_Mahalanobis,751,74.0346,70.7821,77.0425,79.8935,76.8781,82.6046,5.8589,2.9361,8.7816,TAK,75.6949,77.2414,1.5465
12456_poprawny_L1C_class,random forest,MAD,751,51.5313,47.9583,55.0887,76.9640,73.8199,79.8337,25.4328,21.3359,29.5296,TAK,62.0666,73.5104,11.4437
12456_poprawny_L1C_class,multi-layer perceptron,EllipticEnvelope,751,83.4887,80.6641,85.9724,87.4834,84.9243,89.6609,3.9947,1.9934,5.9959,TAK,76.4217,82.8117,6.3900
12456_poprawny_L1C_class,support vector machine,PCA_Reconstruction,751,90.5459,88.2422,92.4370,90.8123,88.5335,92.6756,0.2663,-0.1023,0.6349,nie,85.5395,85.8395,0.3000
12456_poprawny_L1C_class,spectral angle mapping,Band_Z-score,751,87.0839,84.4952,89.2951,87.0839,84.4952,89.2951,0.0000,-0.5220,0.5220,nie,82.4799,82.6817,0.2019
12456_poprawny_L1C_class,minimum distance,MAD,751,83.8881,81.0874,86.3440,85.4860,82.7861,87.8247,1.5979,0.2720,2.9237,TAK,77.0372,79.0083,1.9710
12456_poprawny_L1C_roi,maximum likelihood,HotellingT2,751,74.0346,70.7821,77.0425,78.6951,75.6244,81.4737,4.6605,1.6240,7.6969,TAK,75.6949,73.5180,-2.1769
12456_poprawny_L1C_roi,random forest,Erosion,751,51.3981,47.8255,54.9565,72.1704,68.8585,75.2567,20.7723,17.7333,23.8113,TAK,62.0202,73.1480,11.1278
12456_poprawny_L1C_roi,multi-layer perceptron,kNN,751,84.1545,81.3698,86.5915,86.8176,84.2096,89.0508,2.6631,0.8650,4.4612,TAK,79.1432,80.8664,1.7232
12456_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,751,90.5459,88.2422,92.4370,90.8123,88.5335,92.6756,0.2663,-0.1023,0.6349,nie,85.5395,85.8395,0.3000
12456_poprawny_L1C_roi,spectral angle mapping,MAD,751,87.0839,84.4952,89.2951,86.9507,84.3524,89.1730,-0.1332,-0.9160,0.6497,nie,82.4799,82.4657,-0.0141
12456_poprawny_L1C_roi,minimum distance,IQR,751,83.8881,81.0874,86.3440,84.1545,81.3698,86.5915,0.2663,-0.3727,0.9053,nie,77.0372,77.3737,0.3364
12456_poprawny_L2A_class,maximum likelihood,MAD,751,74.8336,71.6088,77.8056,78.5619,75.4853,81.3478,3.7284,1.7937,5.6631,TAK,74.4440,76.2638,1.8198
12456_poprawny_L2A_class,random forest,HotellingT2,751,81.8908,78.9765,84.4805,82.9561,80.1007,85.4760,1.0652,0.0241,2.1064,TAK,75.5369,77.3312,1.7943
12456_poprawny_L2A_class,multi-layer perceptron,GMM,751,80.4261,77.4366,83.1060,81.4913,78.5559,84.1062,1.0652,-0.7413,2.8718,nie,73.9818,74.9500,0.9683
12456_poprawny_L2A_class,support vector machine,SAM,751,86.9507,84.3524,89.1730,87.7497,85.2108,89.9044,0.7989,0.0630,1.5349,TAK,83.3929,84.1667,0.7739
12456_poprawny_L2A_class,spectral angle mapping,PCA,751,82.8229,79.9600,85.3518,84.4208,81.6526,86.8387,1.5979,-0.3864,3.5822,nie,75.4435,77.9536,2.5101
12456_poprawny_L2A_class,minimum distance,PCA,751,82.1571,79.2572,84.7297,83.0892,80.2414,85.6002,0.9321,-1.5013,3.3654,nie,75.7123,73.7623,-1.9499
12456_poprawny_L2A_roi,maximum likelihood,Robust_Mahalanobis,751,74.8336,71.6088,77.8056,76.2983,73.1278,79.2011,1.4647,-1.4745,4.4039,nie,74.4440,70.8152,-3.6288
12456_poprawny_L2A_roi,random forest,LOF,751,81.8908,78.9765,84.4805,82.9561,80.1007,85.4760,1.0652,0.1644,1.9661,TAK,75.6281,76.9732,1.3452
12456_poprawny_L2A_roi,multi-layer perceptron,IsolationForest,751,80.4261,77.4366,83.1060,82.5566,79.6787,85.1031,2.1305,0.2187,4.0422,TAK,73.9818,74.5636,0.5818
12456_poprawny_L2A_roi,support vector machine,HotellingT2,751,86.9507,84.3524,89.1730,87.6165,85.0675,89.7827,0.6658,-0.1157,1.4473,nie,83.3929,83.8949,0.5020
12456_poprawny_L2A_roi,spectral angle mapping,Erosion,751,82.8229,79.9600,85.3518,83.4887,80.6641,85.9724,0.6658,-0.2740,1.6056,nie,75.4435,76.5554,1.1118
12456_poprawny_L2A_roi,minimum distance,Robust_Mahalanobis,751,82.1571,79.2572,84.7297,82.6897,79.8193,85.2275,0.5326,-0.1055,1.1708,nie,75.7123,76.2144,0.5021
12456_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,751,61.5180,57.9879,64.9308,76.2983,73.1278,79.2011,14.7803,11.5990,17.9616,TAK,61.4200,73.5989,12.1789
12456_zbledami_L1C_class,random forest,PCA_Reconstruction,751,63.7816,60.2820,67.1409,67.9095,64.4868,71.1498,4.1278,2.2150,6.0407,TAK,67.4497,70.3484,2.8987
12456_zbledami_L1C_class,multi-layer perceptron,SAM,751,85.6192,82.9281,87.9477,87.3502,84.7812,89.5391,1.7310,0.1920,3.2700,TAK,77.3877,79.9840,2.5962
12456_zbledami_L1C_class,support vector machine,PCA,751,91.0786,88.8253,92.9137,92.4101,90.2927,94.0959,1.3316,-0.0947,2.7578,nie,86.5840,89.4041,2.8201
12456_zbledami_L1C_class,spectral angle mapping,SAM,751,89.2144,86.7929,91.2367,90.0133,87.6611,91.9582,0.7989,0.1622,1.4356,TAK,84.3821,85.5259,1.1439
12456_zbledami_L1C_class,minimum distance,PCA,751,85.7523,83.0702,88.0705,87.6165,85.0675,89.7827,1.8642,-0.0130,3.7414,nie,80.3493,81.1606,0.8112
12456_zbledami_L1C_roi,maximum likelihood,Erosion,751,61.5180,57.9879,64.9308,66.9774,63.5349,70.2471,5.4594,2.8658,8.0530,TAK,61.4200,63.2108,1.7907
12456_zbledami_L1C_roi,random forest,Erosion,751,63.5153,60.0117,66.8813,66.0453,62.5844,69.3428,2.5300,-0.1382,5.1981,nie,66.9243,65.9651,-0.9592
12456_zbledami_L1C_roi,multi-layer perceptron,LOF,751,89.2144,86.7929,91.2367,88.8149,86.3603,90.8745,-0.3995,-1.7041,0.9051,nie,83.6060,82.2312,-1.3747
12456_zbledami_L1C_roi,support vector machine,HotellingT2,751,91.0786,88.8253,92.9137,92.1438,89.9980,93.8607,1.0652,0.1644,1.9661,TAK,86.5840,88.5678,1.9839
12456_zbledami_L1C_roi,spectral angle mapping,IQR,751,89.2144,86.7929,91.2367,90.1465,87.8062,92.0781,0.9321,-0.6105,2.4746,nie,84.3821,85.4630,1.0809
12456_zbledami_L1C_roi,minimum distance,LOF,751,85.7523,83.0702,88.0705,86.0186,83.3546,88.3161,0.2663,-0.3727,0.9053,nie,80.3493,80.7207,0.3713
12456_zbledami_L2A_class,maximum likelihood,Robust_Mahalanobis,751,69.7736,66.3953,72.9507,78.1625,75.0684,80.9699,8.3888,5.2820,11.4956,TAK,64.7241,76.4817,11.7576
12456_zbledami_L2A_class,random forest,PCA_Reconstruction,751,84.8202,82.0771,87.2089,86.8176,84.2096,89.0508,1.9973,0.4163,3.5784,TAK,79.3479,82.2285,2.8806
12456_zbledami_L2A_class,multi-layer perceptron,Band_Z-score,751,86.4181,83.7817,88.6838,88.8149,86.3603,90.8745,2.3968,0.5968,4.1968,TAK,79.3315,83.9552,4.6237
12456_zbledami_L2A_class,support vector machine,Mahalanobis,751,91.6112,89.4105,93.3884,93.0759,91.0325,94.6809,1.4647,0.2175,2.7119,TAK,88.2906,90.6060,2.3154
12456_zbledami_L2A_class,spectral angle mapping,Band_Z-score,751,84.5539,81.7940,86.9621,85.4860,82.7861,87.8247,0.9321,-0.3711,2.2353,nie,78.3237,79.8486,1.5248
12456_zbledami_L2A_class,minimum distance,PCA,751,84.9534,82.2188,87.3322,86.4181,83.7817,88.6838,1.4647,-0.1617,3.0912,nie,79.5220,80.5485,1.0265
12456_zbledami_L2A_roi,maximum likelihood,Robust_Mahalanobis,751,69.7736,66.3953,72.9507,77.2304,74.0971,80.0865,7.4567,4.3707,10.5427,TAK,64.7241,75.4100,10.6859
12456_zbledami_L2A_roi,random forest,HotellingT2,751,84.0213,81.2286,86.4678,86.9507,84.3524,89.1730,2.9294,1.0592,4.7997,TAK,77.4903,82.8762,5.3859
12456_zbledami_L2A_roi,multi-layer perceptron,Mahalanobis,751,77.0972,73.9585,79.9601,89.0812,86.6486,91.1161,11.9840,8.8608,15.1072,TAK,71.4247,84.2703,12.8456
12456_zbledami_L2A_roi,support vector machine,Band_Z-score,751,91.6112,89.4105,93.3884,92.6764,90.5881,94.3304,1.0652,0.1644,1.9661,TAK,88.2906,89.8303,1.5397
12456_zbledami_L2A_roi,spectral angle mapping,MAD,751,84.5539,81.7940,86.9621,85.2197,82.5023,87.5786,0.6658,-1.0046,2.3362,nie,78.3237,79.6615,1.3378
12456_zbledami_L2A_roi,minimum distance,Erosion,751,84.9534,82.2188,87.3322,85.3529,82.6442,87.7017,0.3995,-0.6109,1.4098,nie,79.5220,80.5177,0.9957
134567_poprawny_L1C_class,maximum likelihood,PCA,847,59.7403,56.4007,62.9919,70.0118,66.8413,73.0016,10.2715,7.8002,12.7429,TAK,64.2986,73.6246,9.3260
134567_poprawny_L1C_class,random forest,Robust_Mahalanobis,847,50.6494,47.2871,54.0058,74.7344,71.7008,77.5446,24.0850,19.8505,28.3195,TAK,61.5780,71.8668,10.2888
134567_poprawny_L1C_class,multi-layer perceptron,Band_Z-score,847,76.5053,73.5344,79.2369,78.5124,75.6208,81.1465,2.0071,-0.4922,4.5064,nie,74.7069,77.4067,2.6998
134567_poprawny_L1C_class,support vector machine,PCA,847,82.7627,80.0726,85.1570,89.3743,87.1182,91.2748,6.6116,4.0947,9.1284,TAK,83.3381,86.3957,3.0576
134567_poprawny_L1C_class,spectral angle mapping,PCA,847,80.2834,77.4698,82.8235,88.3117,85.9730,90.3044,8.0283,6.0305,10.0262,TAK,79.5600,86.7569,7.1970
134567_poprawny_L1C_class,minimum distance,PCA,847,79.4569,76.6060,82.0419,86.8949,84.4548,89.0019,7.4380,5.0974,9.7786,TAK,79.6679,84.4726,4.8047
134567_poprawny_L1C_roi,maximum likelihood,OneClassSVM,847,59.7403,56.4007,62.9919,60.4486,57.1157,63.6873,0.7084,-0.3759,1.7927,nie,64.2986,65.1802,0.8816
134567_poprawny_L1C_roi,random forest,PCA,847,51.7119,48.3465,55.0619,52.4203,49.0537,55.7651,0.7084,-0.8258,2.2426,nie,62.2394,63.1990,0.9596
134567_poprawny_L1C_roi,multi-layer perceptron,Band_Z-score,847,74.3802,71.3348,77.2053,80.0472,77.2228,82.6003,5.6671,3.3383,7.9958,TAK,73.1561,75.8229,2.6668
134567_poprawny_L1C_roi,support vector machine,Band_Z-score,847,82.7627,80.0726,85.1570,82.8808,80.1969,85.2677,0.1181,-0.5761,0.8122,nie,83.3381,83.1515,-0.1866
134567_poprawny_L1C_roi,spectral angle mapping,MAD,847,80.2834,77.4698,82.8235,80.9917,78.2117,83.4919,0.7084,-0.0918,1.5086,nie,79.5600,79.9457,0.3858
134567_poprawny_L1C_roi,minimum distance,IQR,847,79.4569,76.6060,82.0419,79.6930,76.8526,82.2654,0.2361,-0.0907,0.5630,nie,79.6679,79.8194,0.1515
134567_poprawny_L2A_class,maximum likelihood,Percentile,847,64.2267,60.9410,67.3839,67.8867,64.6675,70.9443,3.6600,2.2361,5.0839,TAK,66.9924,69.7428,2.7503
134567_poprawny_L2A_class,random forest,PCA,847,67.1783,63.9446,70.2568,75.4427,72.4334,78.2223,8.2645,5.3909,11.1381,TAK,70.6636,75.9201,5.2565
134567_poprawny_L2A_class,multi-layer perceptron,Percentile,847,71.1924,68.0523,74.1412,75.2066,72.1891,77.9965,4.0142,2.0971,5.9312,TAK,66.7974,70.1037,3.3063
134567_poprawny_L2A_class,support vector machine,IQR,847,77.9221,75.0062,80.5858,82.4085,79.6996,84.8247,4.4864,2.9120,6.0609,TAK,76.8444,80.5371,3.6928
134567_poprawny_L2A_class,spectral angle mapping,Robust_Mahalanobis,847,76.7414,73.7794,79.4620,81.2279,78.4593,83.7145,4.4864,2.5189,6.4539,TAK,75.8713,78.5162,2.6449
134567_poprawny_L2A_class,minimum distance,PCA,847,76.8595,73.9019,79.5746,80.2834,77.4698,82.8235,3.4238,1.6614,5.1863,TAK,76.0389,79.2450,3.2060
134567_poprawny_L2A_roi,maximum likelihood,PCA,847,64.2267,60.9410,67.3839,68.8312,65.6327,71.8596,4.6045,2.7942,6.4148,TAK,66.9924,69.9668,2.9744
134567_poprawny_L2A_roi,random forest,MAD,847,71.0744,67.9311,74.0274,74.3802,71.3348,77.2053,3.3058,1.0495,5.5621,TAK,73.1964,74.7295,1.5331
134567_poprawny_L2A_roi,multi-layer perceptron,Percentile,847,70.2479,67.0833,73.2297,75.0885,72.0670,77.8836,4.8406,2.6089,7.0723,TAK,68.5606,71.1549,2.5943
134567_poprawny_L2A_roi,support vector machine,PCA,847,77.9221,75.0062,80.5858,79.2208,76.3595,81.8182,1.2987,0.1450,2.4524,TAK,76.8444,77.3972,0.5529
134567_poprawny_L2A_roi,spectral angle mapping,IQR,847,76.7414,73.7794,79.4620,77.5679,74.6378,80.2490,0.8264,-0.0060,1.6589,nie,75.8713,76.8401,0.9688
134567_poprawny_L2A_roi,minimum distance,PCA,847,76.8595,73.9019,79.5746,77.4498,74.5151,80.1367,0.5903,-0.1027,1.2834,nie,76.0389,76.7411,0.7022
134567_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,847,54.4274,51.0609,57.7539,60.4486,57.1157,63.6873,6.0213,3.4452,8.5973,TAK,56.2415,65.9024,9.6610
134567_zbledami_L1C_class,random forest,MAD,847,47.8158,44.4692,51.1821,62.3377,59.0257,65.5382,14.5218,11.4947,17.5490,TAK,50.9030,65.1501,14.2470
134567_zbledami_L1C_class,multi-layer perceptron,IQR,847,68.5950,65.3913,71.6309,83.3530,80.6949,85.7099,14.7580,12.0146,17.5013,TAK,70.6198,81.1411,10.5213
134567_zbledami_L1C_class,support vector machine,IQR,847,84.8878,82.3185,87.1421,88.3117,85.9730,90.3044,3.4238,1.5725,5.2752,TAK,84.3873,88.0358,3.6484
134567_zbledami_L1C_class,spectral angle mapping,MAD,847,84.7698,82.1934,87.0322,85.0059,82.4438,87.2519,0.2361,-1.1131,1.5853,nie,84.4941,84.3571,-0.1370
134567_zbledami_L1C_class,minimum distance,IQR,847,81.9362,79.2030,84.3811,86.0685,83.5732,88.2380,4.1322,2.2587,6.0058,TAK,82.6030,85.3147,2.7117
134567_zbledami_L1C_roi,maximum likelihood,Erosion,847,54.4274,51.0609,57.7539,56.0803,52.7180,59.3877,1.6529,-0.3346,3.6404,nie,56.2415,58.9138,2.6723
134567_zbledami_L1C_roi,random forest,MAD,847,47.2255,43.8835,50.5925,54.3093,50.9427,57.6371,7.0838,4.4278,9.7399,TAK,50.9497,62.7020,11.7523
134567_zbledami_L1C_roi,multi-layer perceptron,EllipticEnvelope,847,68.5950,65.3913,71.6309,82.5266,79.8239,84.9355,13.9315,11.3180,16.5450,TAK,70.6198,79.2480,8.6282
134567_zbledami_L1C_roi,support vector machine,Erosion,847,84.8878,82.3185,87.1421,86.1865,83.6990,88.3473,1.2987,-0.2162,2.8136,nie,84.3873,86.0959,1.7086
134567_zbledami_L1C_roi,spectral angle mapping,PCA_Reconstruction,847,84.7698,82.1934,87.0322,84.1795,81.5682,86.4821,-0.5903,-1.2834,0.1027,nie,84.4941,83.5684,-0.9257
134567_zbledami_L1C_roi,minimum distance,LOF,847,81.9362,79.2030,84.3811,81.8182,79.0790,84.2701,-0.1181,-0.8122,0.5761,nie,82.6030,82.4023,-0.2007
134567_zbledami_L2A_class,maximum likelihood,Percentile,847,71.3105,68.1736,74.2550,73.7898,70.7255,76.6394,2.4793,0.7403,4.2184,TAK,69.5717,71.4414,1.8697
134567_zbledami_L2A_class,random forest,IQR,847,76.9776,74.0245,79.6871,85.0059,82.4438,87.2519,8.0283,5.5303,10.5264,TAK,74.5116,83.2212,8.7096
134567_zbledami_L2A_class,multi-layer perceptron,GMM,847,71.3105,68.1736,74.2550,79.6930,76.8526,82.2654,8.3825,5.8366,10.9284,TAK,66.0336,72.6863,6.6527
134567_zbledami_L2A_class,support vector machine,IQR,847,83.9433,81.3185,86.2617,87.6033,85.2127,89.6543,3.6600,1.8107,5.5092,TAK,83.4544,86.3738,2.9194
134567_zbledami_L2A_class,spectral angle mapping,IQR,847,77.8040,74.8834,80.4736,79.9292,77.0994,82.4887,2.1251,0.5623,3.6880,TAK,76.1871,78.2642,2.0771
134567_zbledami_L2A_class,minimum distance,IQR,847,80.1653,77.3463,82.7119,80.5195,77.7169,83.0464,0.3542,-1.0146,1.7230,nie,80.8333,81.5317,0.6984
134567_zbledami_L2A_roi,maximum likelihood,OneClassSVM,847,71.3105,68.1736,74.2550,73.0815,69.9952,75.9593,1.7710,0.4072,3.1347,TAK,69.5717,71.6790,2.1073
134567_zbledami_L2A_roi,random forest,IsolationForest,847,78.2763,75.3749,80.9223,80.5195,77.7169,83.0464,2.2432,0.2719,4.2145,TAK,75.7171,77.6065,1.8893
134567_zbledami_L2A_roi,multi-layer perceptron,IsolationForest,847,71.3105,68.1736,74.2550,78.6305,75.7438,81.2586,7.3200,4.9662,9.6737,TAK,66.0336,76.5482,10.5145
134567_zbledami_L2A_roi,support vector machine,Erosion,847,83.9433,81.3185,86.2617,85.0059,82.4438,87.2519,1.0626,-0.4174,2.5425,nie,83.4544,84.8518,1.3974
134567_zbledami_L2A_roi,spectral angle mapping,Mahalanobis,847,77.8040,74.8834,80.4736,77.8040,74.8834,80.4736,0.0000,-1.2674,1.2674,nie,76.1871,76.5877,0.4006
134567_zbledami_L2A_roi,minimum distance,LOF,847,80.1653,77.3463,82.7119,79.9292,77.0994,82.4887,-0.2361,-0.6987,0.2264,nie,80.8333,80.6670,-0.1663
13456_poprawny_L1C_class,maximum likelihood,PCA,847,73.5537,70.4819,76.4128,85.3601,82.8198,87.5811,11.8064,9.0665,14.5462,TAK,76.2621,83.9855,7.7235
13456_poprawny_L1C_class,random forest,Robust_Mahalanobis,847,56.1983,52.8365,59.5042,79.9292,77.0994,82.4887,23.7308,19.2839,28.1777,TAK,68.2372,75.9865,7.7493
13456_poprawny_L1C_class,multi-layer perceptron,EllipticEnvelope,847,83.5891,80.9442,85.9308,88.0756,85.7193,90.0880,4.4864,2.8454,6.1275,TAK,82.1384,86.5011,4.3627
13456_poprawny_L1C_class,support vector machine,IQR,847,91.8536,89.8169,93.5124,92.7981,90.8571,94.3527,0.9445,0.0211,1.8679,TAK,90.6695,91.8842,1.2147
13456_poprawny_L1C_class,spectral angle mapping,IQR,847,89.1381,86.8632,91.0597,89.2562,86.9907,91.1673,0.1181,-0.3993,0.6354,nie,87.7419,87.9356,0.1937
13456_poprawny_L1C_class,minimum distance,Percentile,847,86.0685,83.5732,88.2380,86.1865,83.6990,88.3473,0.1181,-0.2827,0.5188,nie,85.2837,85.3423,0.0586
13456_poprawny_L1C_roi,maximum likelihood,OneClassSVM,847,73.5537,70.4819,76.4128,75.6789,72.6779,78.4480,2.1251,0.7835,3.4668,TAK,76.2621,77.7425,1.4805
13456_poprawny_L1C_roi,random forest,Robust_Mahalanobis,847,58.3235,54.9729,61.5989,62.9280,59.6237,66.1155,4.6045,2.1643,7.0447,TAK,69.7723,72.0852,2.3129
13456_poprawny_L1C_roi,multi-layer perceptron,OneClassSVM,847,86.7769,84.3287,88.8930,89.8465,87.6292,91.7040,3.0697,1.2012,4.9382,TAK,84.5859,88.9033,4.3174
13456_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,847,91.8536,89.8169,93.5124,91.7355,89.6874,93.4068,-0.1181,-0.3493,0.1132,nie,90.6695,90.5834,-0.0861
13456_poprawny_L1C_roi,spectral angle mapping,MAD,847,89.1381,86.8632,91.0597,89.2562,86.9907,91.1673,0.1181,-0.4941,0.7302,nie,87.7419,87.9218,0.1799
13456_poprawny_L1C_roi,minimum distance,OneClassSVM,847,86.0685,83.5732,88.2380,86.0685,83.5732,88.2380,0.0000,-0.3273,0.3273,nie,85.2837,85.1824,-0.1013
13456_poprawny_L2A_class,maximum likelihood,Percentile,847,78.6305,75.7438,81.2586,81.4640,78.7070,83.9368,2.8335,1.6240,4.0430,TAK,79.7162,82.3438,2.6275
13456_poprawny_L2A_class,random forest,Mahalanobis,847,83.7072,81.0689,86.0411,85.0059,82.4438,87.2519,1.2987,-0.1804,2.7778,nie,83.8457,84.2251,0.3794
13456_poprawny_L2A_class,multi-layer perceptron,PCA,847,79.3388,76.4827,81.9301,85.2420,82.6944,87.4714,5.9032,3.5771,8.2293,TAK,77.9965,82.7695,4.7730
13456_poprawny_L2A_class,support vector machine,PCA,847,88.5478,86.2270,90.5206,91.3813,89.2996,93.0894,2.8335,1.0816,4.5855,TAK,87.5496,89.9040,2.3544
13456_poprawny_L2A_class,spectral angle mapping,PCA,847,86.5407,84.0766,88.6749,88.9020,86.6085,90.8442,2.3613,0.9064,3.8161,TAK,84.4873,87.2988,2.8115
13456_poprawny_L2A_class,minimum distance,PCA,847,84.4156,81.8181,86.7023,88.3117,85.9730,90.3044,3.8961,2.2002,5.5920,TAK,83.3902,86.2023,2.8122
13456_poprawny_L2A_roi,maximum likelihood,Robust_Mahalanobis,847,78.6305,75.7438,81.2586,81.7001,78.9549,84.1591,3.0697,0.9337,5.2056,TAK,79.7162,81.6402,1.9240
13456_poprawny_L2A_roi,random forest,PCA,847,83.7072,81.0689,86.0411,84.8878,82.3185,87.1421,1.1806,-0.3169,2.6782,nie,83.4994,84.6092,1.1098
13456_poprawny_L2A_roi,multi-layer perceptron,Percentile,847,83.2349,80.5704,85.5994,83.8253,81.1937,86.1514,0.5903,-0.9956,2.1762,nie,81.5620,81.9999,0.4380
13456_poprawny_L2A_roi,support vector machine,PCA_Reconstruction,847,88.5478,86.2270,90.5206,88.5478,86.2270,90.5206,0.0000,-0.3273,0.3273,nie,87.5496,87.6523,0.1027
13456_poprawny_L2A_roi,spectral angle mapping,IQR,847,86.5407,84.0766,88.6749,87.3672,84.9598,89.4371,0.8264,-0.0060,1.6589,nie,84.4873,85.5377,1.0505
13456_poprawny_L2A_roi,minimum distance,PCA,847,84.4156,81.8181,86.7023,84.7698,82.1934,87.0322,0.3542,-0.2576,0.9660,nie,83.3902,83.9213,0.5312
13456_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,847,62.8099,59.5040,66.0001,78.3943,75.4978,81.0345,15.5844,12.4504,18.7184,TAK,67.8061,80.3587,12.5526
13456_zbledami_L1C_class,random forest,Robust_Mahalanobis,847,64.6989,61.4207,67.8445,68.8312,65.6327,71.8596,4.1322,1.8941,6.3704,TAK,68.4403,74.4224,5.9821
13456_zbledami_L1C_class,multi-layer perceptron,Band_Z-score,847,86.7769,84.3287,88.8930,91.3813,89.2996,93.0894,4.6045,2.5978,6.6112,TAK,81.5276,89.5301,8.0025
13456_zbledami_L1C_class,support vector machine,MAD,847,91.7355,89.6874,93.4068,93.7426,91.9058,95.1844,2.0071,0.6448,3.3694,TAK,89.8361,92.8073,2.9712
13456_zbledami_L1C_class,spectral angle mapping,SAM,847,91.3813,89.2996,93.0894,92.3259,90.3360,93.9335,0.9445,0.2931,1.5959,TAK,90.2542,91.3387,1.0845
13456_zbledami_L1C_class,minimum distance,PCA,847,86.7769,84.3287,88.8930,91.8536,89.8169,93.5124,5.0767,2.9456,7.2079,TAK,86.5424,90.5948,4.0525
13456_zbledami_L1C_roi,maximum likelihood,Erosion,847,62.8099,59.5040,66.0001,74.6163,71.5788,77.4315,11.8064,9.0470,14.5657,TAK,67.8061,75.9313,8.1252
13456_zbledami_L1C_roi,random forest,HotellingT2,847,63.8725,60.5815,67.0382,67.4144,64.1855,70.4861,3.5419,1.5388,5.5451,TAK,67.9311,71.4958,3.5647
13456_zbledami_L1C_roi,multi-layer perceptron,IQR,847,89.0201,86.7358,90.9520,90.0826,87.8852,91.9182,1.0626,-0.5884,2.7136,nie,86.2908,88.3395,2.0487
13456_zbledami_L1C_roi,support vector machine,Mahalanobis,847,91.7355,89.6874,93.4068,92.2078,90.2061,93.8284,0.4723,-0.3287,1.2732,nie,89.8361,90.5014,0.6654
13456_zbledami_L1C_roi,spectral angle mapping,IQR,847,91.3813,89.2996,93.0894,92.2078,90.2061,93.8284,0.8264,-0.5800,2.2329,nie,90.2542,91.2853,1.0311
13456_zbledami_L1C_roi,minimum distance,LOF,847,86.7769,84.3287,88.8930,86.7769,84.3287,88.8930,0.0000,-0.6545,0.6545,nie,86.5424,86.4452,-0.0972
13456_zbledami_L2A_class,maximum likelihood,HotellingT2,847,79.4569,76.6060,82.0419,83.1169,80.4459,85.4889,3.6600,1.8997,5.4202,TAK,80.2205,83.2597,3.0391
13456_zbledami_L2A_class,random forest,IQR,847,86.3046,83.8248,88.4566,89.8465,87.6292,91.7040,3.5419,1.4345,5.6493,TAK,83.7944,88.5870,4.7927
13456_zbledami_L2A_class,multi-layer perceptron,HotellingT2,847,81.7001,78.9549,84.1591,89.9646,87.7571,91.8111,8.2645,5.6443,10.8847,TAK,78.7008,86.9473,8.2465
13456_zbledami_L2A_class,support vector machine,IQR,847,91.8536,89.8169,93.5124,93.8607,92.0376,95.2877,2.0071,0.5683,3.4458,TAK,90.2446,93.0067,2.7621
13456_zbledami_L2A_class,spectral angle mapping,IQR,847,86.5407,84.0766,88.6749,88.3117,85.9730,90.3044,1.7710,0.3685,3.1734,TAK,84.1370,86.0809,1.9439
13456_zbledami_L2A_class,minimum distance,Band_Z-score,847,86.6588,84.2026,88.7840,87.6033,85.2127,89.6543,0.9445,0.2155,1.6735,TAK,86.1607,87.6521,1.4914
13456_zbledami_L2A_roi,maximum likelihood,Erosion,847,79.4569,76.6060,82.0419,80.6375,77.8406,83.1579,1.1806,-0.6397,3.0010,nie,80.2205,81.6950,1.4745
