Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
1234567_zbledami_L1C_roi,random forest,MAD,847,42.7391,39.4477,46.0961,50.6494,47.2871,54.0058,7.9103,5.1557,10.6648,TAK,48.1468,57.1723,9.0254
1234567_zbledami_L1C_roi,multi-layer perceptron,EllipticEnvelope,847,77.0956,74.1471,79.7995,83.9433,81.3185,86.2617,6.8477,4.1488,9.5466,TAK,72.4887,79.8902,7.4015
1234567_zbledami_L1C_roi,support vector machine,Erosion,847,81.7001,78.9549,84.1591,82.2904,79.5754,84.7139,0.5903,-0.9266,2.1072,nie,80.1253,80.2132,0.0879
1234567_zbledami_L1C_roi,spectral angle mapping,PCA_Reconstruction,847,81.8182,79.0790,84.2701,81.2279,78.4593,83.7145,-0.5903,-1.2834,0.1027,nie,80.7444,80.0245,-0.7198
1234567_zbledami_L1C_roi,minimum distance,LOF,847,79.4569,76.6060,82.0419,79.4569,76.6060,82.0419,0.0000,-0.7318,0.7318,nie,77.3783,77.3753,-0.0030
1234567_zbledami_L2A_class,maximum likelihood,HotellingT2,847,62.4557,59.1453,65.6537,65.1712,61.9007,68.3047,2.7155,0.5401,4.8908,TAK,59.8098,64.1296,4.3199
1234567_zbledami_L2A_class,random forest,Band_Z-score,847,75.5608,72.5556,78.3352,78.0401,75.1290,80.6980,2.4793,0.2064,4.7522,TAK,71.7616,76.1734,4.4119
1234567_zbledami_L2A_class,multi-layer perceptron,Percentile,847,66.7060,63.4631,69.7981,78.8666,75.9900,81.4825,12.1606,9.2292,15.0919,TAK,66.0196,73.4964,7.4768
1234567_zbledami_L2A_class,support vector machine,IQR,847,81.9362,79.2030,84.3811,83.9433,81.3185,86.2617,2.0071,0.2048,3.8093,TAK,81.0580,82.6999,1.6418
1234567_zbledami_L2A_class,spectral angle mapping,IQR,847,74.3802,71.3348,77.2053,75.7969,72.8001,78.5608,1.4168,-0.0065,2.8400,nie,72.1526,73.7915,1.6389
1234567_zbledami_L2A_class,minimum distance,PCA,847,77.2137,74.2697,79.9119,79.5750,76.7293,82.1536,2.3613,0.7999,3.9226,TAK,75.5396,77.5471,2.0075
1234567_zbledami_L2A_roi,maximum likelihood,IsolationForest,847,62.4557,59.1453,65.6537,64.2267,60.9410,67.3839,1.7710,0.5305,3.0114,TAK,59.8098,61.6282,1.8185
1234567_zbledami_L2A_roi,random forest,Percentile,847,75.4427,72.4334,78.2223,78.5124,75.6208,81.1465,3.0697,0.8118,5.3275,TAK,72.4131,74.5900,2.1770
1234567_zbledami_L2A_roi,multi-layer perceptron,IsolationForest,847,58.9138,55.5675,62.1796,77.5679,74.6378,80.2490,18.6541,14.8200,22.4881,TAK,54.1613,70.5460,16.3847
1234567_zbledami_L2A_roi,support vector machine,Percentile,847,81.9362,79.2030,84.3811,82.1724,79.4512,84.6030,0.2361,-0.8491,1.3214,nie,81.0580,80.4902,-0.5679
1234567_zbledami_L2A_roi,spectral angle mapping,Mahalanobis,847,74.3802,71.3348,77.2053,74.1440,71.0910,76.9790,-0.2361,-1.5035,1.0312,nie,72.1526,72.8816,0.7291
1234567_zbledami_L2A_roi,minimum distance,LOF,847,77.2137,74.2697,79.9119,77.2137,74.2697,79.9119,0.0000,-0.4628,0.4628,nie,75.5396,75.7650,0.2254
123456_poprawny_L1C_class,maximum likelihood,HotellingT2,847,70.1299,66.9623,73.1157,73.7898,70.7255,76.6394,3.6600,2.0259,5.2940,TAK,72.1918,75.4968,3.3050
123456_poprawny_L1C_class,random forest,Band_Z-score,847,70.1299,66.9623,73.1157,73.0815,69.9952,75.9593,2.9516,1.2470,4.6562,TAK,71.2970,71.6789,0.3819
123456_poprawny_L1C_class,multi-layer perceptron,EllipticEnvelope,847,83.5891,80.9442,85.9308,84.8878,82.3185,87.1421,1.2987,-0.8076,3.4050,nie,77.9390,80.4883,2.5493
123456_poprawny_L1C_class,support vector machine,GMM,847,87.7214,85.3393,89.7628,87.8394,85.4659,89.8713,0.1181,-0.1132,0.3493,nie,83.1924,83.3191,0.1267
