Wariant,Stan,Raster,Zakres,Algorytm,OA_bazowe_%,Kappa_bazowe,Najlepsza_metoda,Delta_OA_pp,Istotne_lok
1234567,poprawny,L1C,class,multi-layer perceptron,76.7414,0.7122,LOF,+4.1322,TAK
1234567,poprawny,L1C,class,support vector machine,78.7485,0.7352,Percentile,+0.4723,nie
1234567,poprawny,L1C,class,spectral angle mapping,76.8595,0.7138,PCA Mahalanobis,+4.0142,TAK
1234567,poprawny,L1C,class,minimum distance,75.3247,0.6895,PCA Mahalanobis,+1.0626,nie
1234567,zbledami,L1C,roi,maximum likelihood,46.3991,0.3953,Erosion,+1.2987,nie
1234567,zbledami,L1C,roi,random forest,42.7391,0.3588,MAD,+7.9103,TAK
1234567,zbledami,L1C,roi,multi-layer perceptron,77.0956,0.7156,EllipticEnvelope,+6.8477,TAK
1234567,zbledami,L1C,roi,support vector machine,81.7001,0.7714,Erosion,+0.5903,nie
1234567,zbledami,L1C,roi,spectral angle mapping,81.8182,0.7741,PCA Reconstruction,-0.5903,nie
1234567,zbledami,L1C,roi,minimum distance,79.4569,0.7405,LOF,+0.0000,nie
1234567,zbledami,L1C,class,maximum likelihood,46.3991,0.3953,Robust Mahalanobis,+11.0980,TAK
1234567,zbledami,L1C,class,random forest,42.7391,0.3588,MAD,+16.5289,TAK
1234567,zbledami,L1C,class,multi-layer perceptron,78.8666,0.7348,Percentile,+4.0142,TAK
1234567,zbledami,L1C,class,support vector machine,81.7001,0.7714,IQR,+2.8335,TAK
1234567,zbledami,L1C,class,spectral angle mapping,81.8182,0.7741,OneClassSVM,+0.0000,nie
1234567,zbledami,L1C,class,minimum distance,79.4569,0.7405,IQR,+1.1806,nie
1234567,poprawny,L2A,roi,maximum likelihood,60.3306,0.5417,Mahalanobis,+1.8890,TAK
1234567,poprawny,L2A,roi,random forest,69.8937,0.6270,LOF,+2.7155,TAK
1234567,poprawny,L2A,roi,multi-layer perceptron,74.1440,0.6767,OneClassSVM,+4.0142,TAK
1234567,poprawny,L2A,roi,support vector machine,74.7344,0.6880,IQR,+0.7084,nie
1234567,poprawny,L2A,roi,spectral angle mapping,72.0189,0.6554,PCA Mahalanobis,+0.4723,nie
1234567,poprawny,L2A,roi,minimum distance,72.7273,0.6584,PCA Mahalanobis,+0.5903,nie
1234567,poprawny,L2A,class,maximum likelihood,60.3306,0.5417,Percentile,+1.8890,TAK
1234567,poprawny,L2A,class,random forest,69.8937,0.6270,Percentile,+3.5419,TAK
1234567,poprawny,L2A,class,multi-layer perceptron,74.1440,0.6767,SAM,+5.6671,TAK
1234567,poprawny,L2A,class,support vector machine,74.7344,0.6880,Robust Mahalanobis,+5.0767,TAK
1234567,poprawny,L2A,class,spectral angle mapping,72.0189,0.6554,Robust Mahalanobis,+4.4864,TAK
1234567,poprawny,L2A,class,minimum distance,72.7273,0.6584,Robust Mahalanobis,+4.1322,TAK
1234567,zbledami,L2A,roi,maximum likelihood,62.4557,0.5527,IsolationForest,+1.7710,TAK
1234567,zbledami,L2A,roi,random forest,75.4427,0.6973,Percentile,+3.0697,TAK
1234567,zbledami,L2A,roi,multi-layer perceptron,58.9138,0.4994,IsolationForest,+18.6541,TAK
1234567,zbledami,L2A,roi,support vector machine,81.9362,0.7766,Percentile,+0.2361,nie
1234567,zbledami,L2A,roi,spectral angle mapping,74.3802,0.6831,Mahalanobis,-0.2361,nie
1234567,zbledami,L2A,roi,minimum distance,77.2137,0.7135,LOF,+0.0000,nie
1234567,zbledami,L2A,class,maximum likelihood,62.4557,0.5527,HotellingT2,+2.7155,nie
1234567,zbledami,L2A,class,random forest,75.5608,0.6965,Band Z-score,+2.4793,nie
1234567,zbledami,L2A,class,multi-layer perceptron,66.7060,0.5999,Percentile,+12.1606,TAK
1234567,zbledami,L2A,class,support vector machine,81.9362,0.7766,IQR,+2.0071,nie
1234567,zbledami,L2A,class,spectral angle mapping,74.3802,0.6831,IQR,+1.4168,nie
1234567,zbledami,L2A,class,minimum distance,77.2137,0.7135,PCA Mahalanobis,+2.3613,TAK
12456,poprawny,L1C,roi,maximum likelihood,74.0346,0.6441,HotellingT2,+4.6605,TAK
12456,poprawny,L1C,roi,random forest,51.3981,0.4103,Erosion,+20.7723,TAK
12456,poprawny,L1C,roi,multi-layer perceptron,84.1545,0.7559,kNN,+2.6631,TAK
12456,poprawny,L1C,roi,support vector machine,90.5459,0.8536,PCA Reconstruction,+0.2663,nie
12456,poprawny,L1C,roi,spectral angle mapping,87.0839,0.8028,MAD,-0.1332,nie
12456,poprawny,L1C,roi,minimum distance,83.8881,0.7483,IQR,+0.2663,nie
12456,poprawny,L1C,class,maximum likelihood,74.0346,0.6441,Robust Mahalanobis,+5.8589,TAK
12456,poprawny,L1C,class,random forest,51.5313,0.4112,MAD,+25.4328,TAK
12456,poprawny,L1C,class,multi-layer perceptron,83.4887,0.7459,EllipticEnvelope,+3.9947,TAK
12456,poprawny,L1C,class,support vector machine,90.5459,0.8536,PCA Reconstruction,+0.2663,nie
12456,poprawny,L1C,class,spectral angle mapping,87.0839,0.8028,Band Z-score,+0.0000,nie
12456,poprawny,L1C,class,minimum distance,83.8881,0.7483,MAD,+1.5979,nie
12456,zbledami,L1C,roi,maximum likelihood,61.5180,0.5011,Erosion,+5.4594,TAK
12456,zbledami,L1C,roi,random forest,63.5153,0.5270,HotellingT2,+2.5300,nie
