mapa\referencja,1,2,3,4,5,6,7
1,124,3,0,0,14,7,0
2,55,72,4,0,30,1,0
3,2,0,54,0,0,0,0
4,1,1,0,76,1,0,21
5,3,8,33,0,37,0,0
6,0,0,0,0,0,80,0
7,139,11,5,3,1,1,60
