mapa\referencja,1,2,3,4,5,6,7
1,233,3,4,1,2,1,0
2,0,59,0,0,4,0,0
3,10,2,90,0,29,4,0
4,0,1,0,77,0,2,32
5,2,22,1,0,45,1,0
6,0,1,0,0,0,81,0
7,79,7,1,1,3,0,49
