mapa\referencja,1,2,3,4,5,6,7
1,271,6,5,1,20,3,0
2,2,70,0,0,6,0,0
3,7,1,85,0,17,0,0
4,1,1,0,76,1,2,31
5,0,10,4,0,39,0,0
6,0,1,0,0,0,83,0
7,43,6,2,2,0,1,50
