mapa\referencja,1,2,3,4,5,6,7
1,219,2,4,0,2,0,0
2,0,55,0,0,2,1,1
3,8,1,87,0,23,6,0
4,1,2,0,76,0,0,33
5,2,30,4,0,54,0,0
6,0,1,0,1,1,82,0
7,94,4,1,2,1,0,47
