mapa\referencja,1,2,3,4,5,6,7
1,307,3,20,0,23,3,0
2,2,78,1,0,33,0,0
3,0,0,62,0,2,0,0
4,6,8,0,75,0,1,22
5,0,4,12,0,25,0,0
6,0,1,0,0,0,85,0
7,9,1,1,4,0,0,59
