mapa\referencja,1,2,3,4,5,6,7
1,307,29,13,2,27,0,0
2,0,48,2,0,17,3,0
3,2,0,76,0,4,0,0
4,7,7,1,73,0,1,24
5,0,7,3,0,24,1,0
6,0,3,1,0,11,84,0
7,8,1,0,4,0,0,57
