mapa\referencja,1,2,3,4,5,6,7
1,296,19,14,1,11,0,0
2,3,62,5,0,50,5,0
3,0,0,64,0,1,0,0
4,23,10,1,71,0,1,17
5,0,2,11,0,14,0,0
6,0,2,1,0,7,83,0
7,2,0,0,7,0,0,64
