mapa\referencja,1,2,3,4,5,6,7
1,251,3,16,0,16,2,0
2,0,75,1,0,28,0,0
3,0,0,65,0,0,0,0
4,3,3,0,77,0,0,11
5,0,5,11,0,39,1,0
6,0,1,0,0,0,85,0
7,70,8,3,2,0,1,70
