mapa\referencja,1,2,3,4,5,6,7
1,252,11,5,1,8,0,0
2,2,67,5,0,33,4,0
3,0,0,63,0,0,0,0
4,6,6,1,71,0,0,5
5,0,7,14,0,37,0,0
6,0,1,1,0,5,84,0
7,64,3,7,7,0,1,76
