mapa\referencja,1,2,3,4,5,6,7
1,285,3,15,0,11,0,0
2,0,70,2,0,28,1,0
3,1,0,74,0,0,0,0
4,3,15,0,68,0,1,27
5,0,5,5,0,42,2,0
6,0,0,0,0,2,85,0
7,35,2,0,11,0,0,54
