mapa\referencja,1,2,3,4,5,6,7
1,244,1,15,0,9,0,0
2,5,70,1,1,12,0,0
3,1,0,76,0,3,0,0
4,0,5,0,70,0,1,23
5,0,12,2,0,59,3,0
6,0,1,0,0,0,85,0
7,74,6,2,8,0,0,58
