mapa\referencja,1,2,3,4,5,6,7
1,220,2,5,0,4,0,2
2,0,63,0,0,7,0,0
3,2,1,60,0,0,4,0
4,3,8,0,78,0,0,44
5,0,17,27,0,46,1,0
6,3,4,1,1,25,84,0
7,96,0,3,0,1,0,35
