mapa\referencja,1,2,3,4,5,6,7
1,291,13,12,1,11,0,1
2,1,48,0,0,1,0,1
3,3,2,67,0,0,6,0
4,0,1,0,64,0,0,5
5,0,27,16,0,52,1,3
6,0,3,0,2,19,82,0
7,29,1,1,12,0,0,71
