mapa\referencja,1,2,3,4,5,6,7
1,279,1,9,0,7,0,1
2,1,78,0,1,22,0,1
3,19,4,86,0,4,7,0
4,0,0,0,59,0,0,0
5,0,7,0,0,33,1,1
6,0,4,0,1,17,81,0
7,25,1,1,18,0,0,78
