mapa\referencja,1,2,3,4,5,6,7
1,265,5,12,0,18,0,0
2,7,78,1,1,16,1,0
3,5,0,80,0,11,7,0
4,0,3,0,69,0,0,5
5,0,6,2,0,38,0,0
6,0,0,0,0,0,81,0
7,47,3,1,9,0,0,76
