mapa\referencja,1,2,3,4,5,6,7
1,276,2,11,0,13,0,0
2,2,76,0,0,13,0,0
3,7,1,79,0,15,2,0
4,0,3,0,72,0,0,6
5,0,8,6,0,39,0,0
6,0,1,0,0,3,86,0
7,39,4,0,7,0,1,75
