mapa\referencja,1,2,3,4,5,6
1,331,10,6,2,2,1
2,18,64,1,0,22,0
3,1,0,62,0,0,0
4,27,1,0,77,1,0
5,28,19,26,0,58,3
6,0,1,1,0,0,85
