mapa\referencja,1,2,3,4,5,6
1,313,5,6,2,2,1
2,51,72,2,0,24,1
3,1,0,67,0,1,0
4,27,1,0,77,1,0
5,13,16,20,0,55,2
6,0,1,1,0,0,85
