mapa\referencja,1,2,3,4,5,6
1,313,5,6,1,1,1
2,55,72,2,1,27,0
3,0,0,67,0,1,0
4,27,1,0,77,1,0
5,10,16,20,0,53,3
6,0,1,1,0,0,85
