mapa\referencja,1,2,3,4,5,6
1,337,7,6,2,1,2
2,27,69,1,0,22,0
3,1,0,66,0,1,0
4,28,1,0,77,1,0
5,12,17,22,0,58,3
6,0,1,1,0,0,84
