mapa\referencja,1,2,3,4,5,6
1,313,5,6,2,1,0
2,42,73,2,0,25,0
3,0,0,68,0,1,0
4,27,1,0,77,1,0
5,23,15,19,0,55,4
6,0,1,1,0,0,85
