mapa\referencja,1,2,3,4,5,6
1,318,7,11,1,2,0
2,63,78,7,1,46,8
3,0,0,53,0,0,0
4,24,1,0,77,0,0
5,0,8,25,0,35,0
6,0,1,0,0,0,81
