mapa\referencja,1,2,3,4,5,6
1,304,5,6,1,0,0
2,52,74,3,1,23,0
3,1,0,68,0,1,0
4,27,1,0,77,0,0
5,21,14,18,0,59,5
6,0,1,1,0,0,84
