Run_ID,Wariant,Stan,Raster,Zakres,Lp.,Metoda,Algorytm,DA_%,Kappa,Makro_PA_%,Makro_UA_%,Makro_F1_%,Niesklasyfikowane,Usuniete_px,Czas_s,Blad
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,1,IsolationForest,random forest,52.8628,0.4564,71.4747,63.8285,58.8353,0,1025,44.4,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,2,kNN,random forest,50.9987,0.4384,70.0405,63.8249,57.4084,0,1024,45.5,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,3,SAM,random forest,50.8655,0.4397,71.3145,65.4765,58.2553,0,1025,44.9,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,4,MAD,random forest,50.5992,0.4300,68.9737,63.5842,57.9351,0,1499,45.0,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,5,IQR,random forest,49.9334,0.4304,70.6885,66.5970,59.0635,0,1453,44.5,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,6,Percentile,random forest,49.2676,0.4190,67.8775,61.9806,55.8895,0,3073,43.4,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,7,Robust Mahalanobis,random forest,48.4687,0.4079,67.3277,66.4990,57.6276,0,2191,43.4,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,8,PCA Mahalanobis,random forest,48.3356,0.4127,68.5685,65.6489,56.1941,0,2099,43.4,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,9,EllipticEnvelope,random forest,48.2024,0.4134,69.3806,62.1876,54.3921,0,1030,45.0,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,10,OneClassSVM,random forest,48.0692,0.4112,68.6837,67.5951,56.1110,0,1038,46.0,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,11,Mahalanobis,random forest,46.6045,0.3981,68.1611,65.5475,54.2705,0,446,47.1,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,12,HotellingT2,random forest,46.6045,0.3978,68.0269,65.3136,54.1866,0,415,47.1,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,13,Band Z-score,random forest,46.2051,0.3911,66.3688,66.5232,54.7254,0,282,47.6,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,14,PCA Reconstruction,random forest,46.0719,0.3920,67.3545,62.8521,53.5691,0,1025,48.0,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,15,LOF,random forest,45.5393,0.3861,66.5842,64.6228,53.2484,0,1025,46.0,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,16,Poziom bazowy,random forest,44.0746,0.3702,64.6531,63.9335,51.4781,0,0,48.7,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,17,Erosion,random forest,43.1425,0.3587,63.2396,67.9407,51.4129,0,1645,45.4,
124567_zbledami_L1C_roi,124567,zbledami,L1C,roi,18,GMM,random forest,42.6099,0.3538,62.6390,63.1501,50.0735,0,1025,48.6,
