mapa\referencja,1,2,3,4,5,6,7
1,120,1,0,0,2,0,1
2,185,74,9,1,15,0,1
3,0,0,25,0,1,0,0
4,1,3,0,76,5,3,13
5,2,16,61,0,60,1,0
6,0,1,1,0,0,85,0
7,16,0,0,2,0,0,66
