mapa\referencja,1,2,3,4,5,6
1,261,2,1,0,0,0
2,49,69,2,0,6,0
3,57,7,90,1,31,7
4,35,2,0,78,0,0
5,3,14,3,0,46,0
6,0,1,0,0,0,82
