mapa\referencja,1,2,3,4,5,6
1,296,4,4,1,0,0
2,49,72,0,1,7,0
3,29,7,85,0,40,9
4,31,1,0,77,0,0
5,0,10,7,0,36,0
6,0,1,0,0,0,80
