mapa\referencja,1,2,3,4,5,6
1,275,2,3,0,0,0
2,46,74,1,0,8,0
3,35,5,86,1,31,8
4,37,2,0,78,0,0
5,12,11,6,0,44,1
6,0,1,0,0,0,80
