mapa\referencja,1,2,3,4,5,6
1,283,3,3,0,0,0
2,28,65,0,0,8,0
3,50,4,85,0,23,7
4,31,2,0,78,0,1
5,13,20,8,1,52,1
6,0,1,0,0,0,80
