mapa\referencja,1,2,3,4,5,6
1,267,2,3,0,0,0
2,9,60,0,0,4,0
3,54,7,87,1,23,8
4,36,2,0,78,0,0
5,39,23,6,0,56,1
6,0,1,0,0,0,80
