mapa\referencja,1,2,3,4,5,6
1,278,2,2,0,0,0
2,13,69,1,0,7,0
3,77,7,88,0,30,8
4,34,1,0,78,0,0
5,3,14,5,0,46,1
6,0,2,0,1,0,80
