mapa\referencja,1,2,3,4,5,6,7
1,49,3,1,0,16,3,0
2,75,64,2,0,17,0,0
3,2,0,69,0,1,0,0
4,1,1,0,76,1,0,24
5,79,15,21,0,48,0,0
6,0,1,1,0,0,85,0
7,118,11,2,3,0,1,57
