mapa\referencja,1,2,3,4,5,6
1,371,29,9,3,10,0
2,2,47,1,0,9,1
3,0,1,85,0,26,8
4,32,2,0,76,1,3
5,0,16,1,0,37,0
6,0,0,0,0,0,77
