mapa\referencja,1,2,3,4,5,6
1,369,5,5,3,0,0
2,1,48,0,0,2,0
3,2,1,90,0,17,7
4,31,2,0,75,0,0
5,2,37,1,0,61,1
6,0,2,0,1,3,81
