mapa\referencja,1,2,3,4,5,6
1,367,8,5,3,4,0
2,1,59,0,0,5,1
3,4,1,91,0,19,7
4,31,1,0,76,0,0
5,2,25,0,0,52,0
6,0,1,0,0,3,81
