mapa\referencja,1,2,3,4,5,6
1,368,7,5,3,6,0
2,1,66,0,0,6,1
3,4,1,91,0,25,8
4,32,2,0,76,1,3
5,0,19,0,0,45,0
6,0,0,0,0,0,77
