mapa\referencja,1,2,3,4,5,6
1,370,21,6,3,8,0
2,0,52,0,0,6,0
3,3,1,89,0,23,5
4,32,2,0,76,1,3
5,0,19,1,0,45,1
6,0,0,0,0,0,80
