mapa\referencja,1,2,3,4,5,6
1,364,21,5,3,9,0
2,2,53,0,0,5,1
3,6,1,89,0,25,5
4,33,1,0,76,1,2
5,0,18,2,0,43,0
6,0,1,0,0,0,81
