mapa\referencja,1,2,3,4,5,6
1,368,11,5,2,8,0
2,1,59,0,0,3,1
3,3,1,91,0,19,6
4,32,2,0,77,1,3
5,1,22,0,0,52,0
6,0,0,0,0,0,79
