mapa\referencja,1,2,3,4,5,6
1,368,5,5,2,3,0
2,1,64,0,0,4,1
3,3,1,91,0,20,5
4,33,2,0,76,0,0
5,0,20,0,0,50,0
6,0,3,0,1,6,83
