mapa\referencja,1,2,3,4,5,6
1,371,12,6,2,9,0
2,1,59,0,0,5,0
3,2,1,89,0,24,6
4,31,3,0,77,1,3
5,0,20,1,0,44,1
6,0,0,0,0,0,79
