mapa\referencja,1,2,3,4,5,6
1,370,30,8,3,8,1
2,0,39,0,0,5,0
3,1,0,87,0,12,2
4,32,1,0,76,0,0
5,2,24,1,0,56,1
6,0,1,0,0,2,85
