mapa\referencja,1,2,3,4,5,6
1,370,17,10,3,9,0
2,2,59,1,0,7,1
3,1,1,83,0,26,8
4,32,2,0,76,1,3
5,0,16,2,0,40,0
6,0,0,0,0,0,77
