mapa\referencja,1,2,3,4,5,6
1,373,23,8,3,10,1
2,0,57,1,0,6,0
3,0,1,84,0,26,5
4,32,1,0,76,1,2
5,0,12,3,0,40,0
6,0,1,0,0,0,81
