mapa\referencja,1,2,3,4,5,6
1,369,10,5,3,9,0
2,1,60,0,0,6,0
3,5,2,90,0,27,6
4,30,1,0,76,0,1
5,0,21,1,0,41,1
6,0,1,0,0,0,81
