mapa\referencja,1,2,3,4,5,6,7
1,37,0,1,0,0,0,0
2,8,53,1,0,4,0,1
3,56,12,88,0,25,7,0
4,0,1,0,77,0,1,31
5,124,27,6,0,54,0,0
6,0,0,0,0,0,80,0
7,99,2,0,2,0,1,49
