mapa\referencja,1,2,3,4,5,6,7
1,128,0,1,0,0,0,0
2,0,40,0,0,4,0,0
3,8,0,77,0,2,0,0
4,0,1,0,73,0,0,16
5,118,53,17,3,77,9,3
6,0,0,0,0,0,80,0
7,70,1,1,3,0,0,62
