mapa\referencja,1,2,3,4,5,6,7
1,299,5,14,0,3,0,0
2,8,73,4,0,54,1,0
3,0,0,35,0,2,0,0
4,7,12,0,72,0,1,23
5,3,4,42,0,22,0,0
6,0,1,0,0,2,87,0
7,7,0,1,7,0,0,58
