mapa\referencja,1,2,3,4,5,6,7
1,310,4,9,0,4,0,1
2,0,77,4,0,56,1,0
3,0,0,32,0,2,0,0
4,4,9,0,72,0,1,24
5,7,4,51,0,21,0,0
6,0,1,0,0,0,87,0
7,3,0,0,7,0,0,56
