mapa\referencja,1,2,3,4,5,6,7
1,1,0,0,0,0,1,0
2,284,85,20,0,62,5,1
3,0,0,25,0,3,0,0
4,26,6,2,72,1,4,26
5,1,4,48,0,17,0,0
6,0,0,0,0,0,79,0
7,12,0,1,7,0,0,54
