mapa\referencja,1,2,3,4,5,6,7
1,298,3,12,0,29,2,0
2,3,68,4,0,21,0,0
3,0,0,29,0,2,0,0
4,8,12,0,72,0,1,22
5,4,11,50,0,31,0,0
6,0,1,0,0,0,86,0
7,11,0,1,7,0,0,59
