mapa\referencja,1,2,3,4,5,6,7
1,275,3,16,0,18,1,0
2,0,73,1,0,29,0,0
3,0,0,62,0,0,0,0
4,2,4,0,77,0,0,10
5,0,5,14,0,36,1,0
6,0,1,0,0,0,86,0
7,47,9,3,2,0,1,71
