mapa\referencja,1,2,3,4,5,6,7
1,242,22,4,2,4,0,0
2,29,54,5,0,56,8,0
3,1,0,68,0,0,0,0
4,8,8,1,67,0,1,12
5,43,10,17,0,18,0,1
6,0,1,1,0,5,80,0
7,1,0,0,10,0,0,68
