mapa\referencja,1,2,3,4,5,6,7
1,291,4,13,0,26,3,0
2,18,78,3,0,31,0,0
3,0,0,30,0,2,0,0
4,5,8,0,72,0,1,23
5,4,4,49,0,24,0,0
6,0,1,0,0,0,85,0
7,6,0,1,7,0,0,58
