mapa\referencja,1,2,3,4,5,6,7
1,310,1,14,0,5,0,0
2,1,82,3,0,43,0,0
3,2,0,40,0,2,0,0
4,5,7,0,72,0,1,23
5,0,4,38,0,31,1,0
6,0,1,0,0,2,87,0
7,6,0,1,7,0,0,58
