mapa\referencja,1,2,3,4,5,6,7
1,307,1,9,0,4,0,1
2,2,81,4,0,55,1,0
3,0,0,30,0,2,0,0
4,3,8,0,72,0,1,22
5,10,4,53,0,22,0,0
6,0,1,0,0,0,87,0
7,2,0,0,7,0,0,58
