mapa\referencja,1,3,4,5,6,7
1,35,0,0,0,0,0
3,43,87,0,29,7,1
4,1,0,78,2,0,29
5,138,9,0,146,1,1
6,0,0,0,1,81,0
7,107,0,1,0,0,50
