mapa\referencja,1,2,3,4,5,6,7
1,215,2,0,1,0,0,0
2,2,37,0,0,1,0,0
3,0,0,74,0,1,0,0
4,0,1,0,74,0,1,26
5,41,50,20,0,81,7,1
6,0,1,0,0,0,81,0
7,66,4,2,4,0,0,54
