mapa\referencja,1,2,3,4,5,6
1,266,3,4,3,0,0
2,0,45,0,0,4,0
3,12,0,83,0,2,0
4,14,1,0,73,0,0
5,113,46,9,3,77,9
6,0,0,0,0,0,80
