mapa\referencja,1,2,3,4,5,6
1,314,5,6,2,0,0
2,42,69,1,2,5,0
3,11,0,86,0,4,0
4,22,1,0,75,0,0
5,16,19,2,0,74,4
6,0,1,1,0,0,85
