mapa\referencja,1,2,3,4,5,6
1,297,5,3,1,0,0
2,6,71,1,0,12,0
3,15,0,86,0,4,0
4,27,1,0,77,1,0
5,60,17,5,1,66,3
6,0,1,1,0,0,86
